NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE
AT1;AT13;AT130;91600;.;1.055.139.000;625.897.000;429.242.000;17.170;18.734;15.374;24.574;26.366;22.200;20061231
AT1;AT13;AT130;91700;.;635.664.000;383.723.000;251.941.000;18.441;20.699;15.872;27.166;29.998;23.491;20061231
AT1;AT13;AT130;91800;.;698.501.000;428.477.000;270.024.000;22.139;26.614;17.706;32.371;36.934;26.662;20061231
AT1;AT13;AT130;91900;.;949.594.000;601.766.000;347.828.000;23.716;29.184;18.192;34.208;39.682;27.208;20061231
AT1;AT13;AT130;92000;.;817.104.000;491.233.000;325.871.000;16.339;17.723;14.676;23.404;24.853;21.359;20061231
AT1;AT13;AT130;92100;.;1.668.643.000;1.010.197.000;658.446.000;18.815;21.377;16.021;25.381;27.669;22.167;20061231
AT1;AT13;AT130;92200;.;2.041.952.000;1.258.414.000;783.538.000;20.296;23.591;16.746;26.508;29.152;22.692;20061231
AT1;AT13;AT130;92300;.;1.294.072.000;803.114.000;490.958.000;21.734;25.798;17.495;28.790;32.403;23.899;20061231
AT1;AT13;AT130;90100;.;330.627.648;222.163.769;108.463.879;31.095;40.019;21.791;44.693;54.225;33.510;20071231
AT1;AT13;AT130;90200;.;1.065.620.932;638.476.150;427.144.782;18.008;19.917;15.832;26.223;28.308;23.458;20071231
AT1;AT13;AT130;90300;.;1.176.856.127;699.317.756;477.538.371;20.908;23.979;17.742;29.890;33.294;25.762;20071231
AT1;AT13;AT130;90400;.;475.336.718;283.351.884;191.984.834;23.221;27.092;19.340;33.640;37.938;28.617;20071231
AT1;AT13;AT130;90500;.;637.657.397;370.235.348;267.422.048;17.682;19.416;15.796;26.163;28.367;23.481;20071231
AT1;AT13;AT130;90600;.;447.415.299;262.058.217;185.357.083;21.037;23.751;18.211;30.819;34.494;26.594;20071231
AT1;AT13;AT130;90700;.;478.243.350;272.280.108;205.963.242;21.191;24.355;18.205;31.309;34.789;27.458;20071231
AT1;AT13;AT130;90800;.;387.125.659;227.844.048;159.281.611;22.698;26.717;18.842;33.601;38.205;28.547;20071231
AT1;AT13;AT130;90900;.;604.368.144;357.092.705;247.275.439;21.359;25.027;17.786;32.260;36.655;27.332;20071231
AT1;AT13;AT130;91000;.;1.904.193.093;1.147.738.836;756.454.257;17.454;19.251;15.370;24.156;25.895;21.729;20071231
AT1;AT13;AT130;91100;.;1.029.558.158;625.887.858;403.670.300;17.984;20.050;15.597;24.159;26.005;21.493;20071231
